,['Total'],['Australian Capital Territory'],['New South Wales'],['Northern Territory'],['Queensland'],['South Australia'],['Tasmania'],['Victoria'],['Western Australia'],"['Females', 'Australian Capital Territory']","['Males', 'Australian Capital Territory']","['Females', 'New South Wales']","['Males', 'New South Wales']","['Females', 'Northern Territory']","['Males', 'Northern Territory']","['Females', 'Queensland']","['Males', 'Queensland']","['Females', 'South Australia']","['Males', 'South Australia']","['Females', 'Tasmania']","['Males', 'Tasmania']","['Females', 'Victoria']","['Males', 'Victoria']","['Females', 'Western Australia']","['Males', 'Western Australia']","['Employed full-time', 'Females', 'Australian Capital Territory']","['Employed part-time', 'Females', 'Australian Capital Territory']","['Employed full-time', 'Males', 'Australian Capital Territory']","['Employed part-time', 'Males', 'Australian Capital Territory']","['Employed full-time', 'Females', 'New South Wales']","['Employed part-time', 'Females', 'New South Wales']","['Employed full-time', 'Males', 'New South Wales']","['Employed part-time', 'Males', 'New South Wales']","['Employed full-time', 'Females', 'Northern Territory']","['Employed part-time', 'Females', 'Northern Territory']","['Employed full-time', 'Males', 'Northern Territory']","['Employed part-time', 'Males', 'Northern Territory']","['Employed full-time', 'Females', 'Queensland']","['Employed part-time', 'Females', 'Queensland']","['Employed full-time', 'Males', 'Queensland']","['Employed part-time', 'Males', 'Queensland']","['Employed full-time', 'Females', 'South Australia']","['Employed part-time', 'Females', 'South Australia']","['Employed full-time', 'Males', 'South Australia']","['Employed part-time', 'Males', 'South Australia']","['Employed full-time', 'Females', 'Tasmania']","['Employed part-time', 'Females', 'Tasmania']","['Employed full-time', 'Males', 'Tasmania']","['Employed part-time', 'Males', 'Tasmania']","['Employed full-time', 'Females', 'Victoria']","['Employed part-time', 'Females', 'Victoria']","['Employed full-time', 'Males', 'Victoria']","['Employed part-time', 'Males', 'Victoria']","['Employed full-time', 'Females', 'Western Australia']","['Employed part-time', 'Females', 'Western Australia']","['Employed full-time', 'Males', 'Western Australia']","['Employed part-time', 'Males', 'Western Australia']"
1978-02-01,5985.6597157999995,94.880258,2114.1166217,41.255449999999996,861.6633058000001,555.0228685,166.8008393,1629.0236225,522.89675,39.4094853,55.4707727,744.7162624,1369.4003593,13.4325859,27.8228641,293.78715520000003,567.8761506000001,197.8223629,357.20050560000004,54.5387063,112.262133,576.5123972,1052.5112253,178.05277840000002,344.8439716,28.7432899,10.6661954,53.9083962,1.5623765,507.2417553,237.4745071,1297.2788756,72.1214837,9.8186882,3.6138977,25.0243489,2.7985152,188.8204504,104.9667048,543.4178179,24.4583327,126.3469046,71.4754583,339.5067733,17.6937323,35.0602058,19.4785005,108.0800787,4.1820543,394.7874913,181.7249059,1002.5367946,49.9744307,110.4943851,67.5583933,328.8546462,15.9893254
1978-03-01,6040.560795400001,95.1738841,2110.1794315,45.768919,874.3195265,564.0623012,167.6337931,1652.7177913,530.7051487,37.9685143,57.2053698,743.4130777,1366.7663538000002,15.1770567,30.5918623,298.178103,576.1414235000001,206.6413907,357.4209105,57.2260766,110.4077165,594.6663125,1058.0514788,186.6419903,344.0631584,26.6493669,11.3191474,53.287943,3.9174268,501.2806931,242.1323846,1297.0604,69.7059538,10.3226388,4.8544179,27.7349768,2.8568855,188.0879581,110.0901449,548.4569658,27.6844577,130.7257768,75.9156139,338.9652484,18.4556621,36.317565,20.9085116,106.9614617,3.4462548,408.2440848,186.4222277,1006.507024,51.5444548,111.1076087,75.5343816,326.3419022,17.7212562
1978-04-01,6054.2138586,93.7927329,2115.0632786,43.526918699999996,876.2368203000001,561.6703984,167.4674532,1664.7585895,531.697667,38.0173246,55.775408299999995,755.481254,1359.5820246,14.8328314,28.6940873,300.8002151,575.4366052,205.02332629999998,356.6470721,56.8281927,110.6392605,595.8822553,1068.8763342,188.2287302,343.4689368,25.7847978,12.2325268,52.9861611,2.7892472,508.1085927,247.3726613,1291.8713849,67.7106397,9.6833514,5.14948,25.2114394,3.4826479,191.8304553,108.9697598,549.9321072,25.504498,130.8909546,74.1323717,337.4637746,19.1832975,37.3267405,19.5014522,107.2036703,3.4355902,408.6306293,187.251626,1013.2413451,55.6349891,112.3575456,75.8711846,325.7885716,17.6803652
1978-05-01,6038.264750500001,96.689633,2111.2689840000003,45.5510838,872.0421423,557.4299142,166.1370125,1656.6051372000002,532.5408434999999,39.878992999999994,56.81064000000001,750.0693544000001,1361.1996296,14.9737698,30.577314,297.6330563,574.409086,202.0127304,355.4171838,55.9889417,110.1480708,599.1694961000001,1057.4356411,189.93791729999998,342.6029262,27.5439746,12.3350184,53.9728246,2.8378154,512.0440749,238.0252795,1290.3323441,70.8672855,9.0043341,5.9694357,26.2389818,4.3383322,188.546163,109.0868933,547.7621894,26.6468966,124.6785699,77.3341605,337.2838501,18.1333337,34.4043576,21.5845841,106.7782316,3.3698392,417.1435276,182.0259685,1005.2343296,52.2013115,111.8757093,78.062208,324.6377332,17.965193
1978-06-01,6031.342299399999,95.265263,2113.247138,43.1472992,867.4787951,562.4580893,163.91009209999999,1653.5897725000002,532.2458502,39.1503687,56.1148943,751.2360526,1362.0110854,13.5040692,29.64323,295.3596328,572.1191623,206.46026489999997,355.9978244,53.3455101,110.564582,598.2584874,1055.3312851,190.47778799999998,341.7680622,27.7846573,11.3657114,53.4606069,2.6542874,507.3959768,243.8400758,1287.1827039,74.8283815,9.0786399,4.4254293,27.6201711,2.0230589,186.3900013,108.9696315,547.0259517,25.0932106,128.0398349,78.42043,336.4920852,19.5057392,32.0166403,21.3288698,106.2025831,4.3619989,409.5253678,188.7331196,995.5750286,59.7562565,114.6039448,75.8738432,324.1810715,17.5869907
1978-07-01,6036.083926300001,97.2580644,2117.1954997,45.175082599999996,870.695015,559.8052615,165.632735,1655.0160313999997,525.3062367,40.7481469,56.5099175,762.2266516,1354.9688480999998,14.192728899999999,30.9823537,298.22348569999997,572.4715293,206.9328425,352.872419,54.6241968,111.00853819999999,600.2032412,1054.8127901999999,189.0328221,336.2734146,29.6943275,11.0538194,53.8457587,2.6641588,515.7298693,246.4967823,1282.8344524,72.1343957,10.0541641,4.1385648,28.8474037,2.13495,188.095844,110.1276417,548.2155208,24.2560085,124.4453962,82.4874463,335.0978973,17.7745217,32.4107975,22.2133993,107.1152281,3.8933101,410.9780266,189.2252146,994.4647126,60.3480776,112.3933274,76.6394947,318.5402178,17.7331968
1978-08-01,6005.3614529,97.06483400000002,2103.2753609,46.438764000000006,881.5356360999999,553.3153244,165.8397712,1638.6714604,519.2203019,39.960067800000004,57.1047662,757.5741813,1345.7011796000002,14.1174483,32.3213157,306.6804656,574.8551705,203.9092252,349.4060992,54.466572400000004,111.3731988,593.6094643,1045.0619961,184.1222009,335.098101,27.8489401,12.1111277,53.7664222,3.338344,512.6555869,244.9185944,1270.7270117,74.9741679,10.2673746,3.8500737,30.2305715,2.0907442,191.3252641,115.3552015,550.3283503,24.5268202,121.8934466,82.0157786,329.808198,19.5979012,33.2439606,21.2226118,107.1257138,4.247485,394.684152,198.9253123,982.2485608,62.8134353,110.9672213,73.1549796,318.2148469,16.8832541
1978-09-01,6024.313451500001,96.2963192,2113.9209055,47.93321590000001,886.1120778999999,552.7357317,165.208982,1639.5240492,522.5821701,38.7437711,57.5525481,766.2698895999999,1347.6510159,15.462226900000001,32.470989,309.0904342,577.0216436999999,202.3741443,350.36158739999996,54.2076038,111.00137819999999,594.2596530000001,1045.2643962,183.53189270000001,339.05027739999997,27.4202977,11.3234734,53.1002116,4.4523365,519.7618837,246.5080059,1278.081115,69.5699009,11.3678454,4.0943815,31.0491224,1.4218666,199.6283885,109.4620457,551.6458792,25.3757645,125.6717191,76.7024252,330.1447742,20.2168132,32.2396676,21.9679362,106.6921429,4.3092353,407.5074723,186.7521807,988.1149039,57.1494923,113.1807395,70.3511532,321.4262821,17.6239953
1978-10-01,6045.8551024,95.9793134,2125.8461306,47.537433099999994,894.4088201,554.0163252,166.25032030000003,1635.3303389,526.4864208,40.318501499999996,55.6608119,772.2111038,1353.6350267999999,15.035789699999999,32.5016434,307.6054555,586.8033646,204.23033249999997,349.7859927,54.586018300000006,111.66430199999999,588.8705924999999,1046.4597464,188.7743131,337.7121077,27.4508465,12.867655,53.0568831,2.6039288,520.2400209,251.9710829,1285.1423856,68.4926412,9.9888081,5.0469816,31.5026463,0.9989971,201.0440698,106.5613857,559.8802379,26.9231267,122.5369248,81.6934077,328.9804514,20.8055413,32.2518412,22.3341771,107.1669232,4.4973788,403.3245594,185.5460331,981.9167059,64.5430405,112.1944247,76.5798884,320.717533,16.9945747
1978-11-01,6033.797442200001,97.0664929,2114.0132193,48.7505936,888.5168183000001,554.4962712,167.3712524,1642.3503546,521.2324398999999,40.683291499999996,56.3832014,762.7041532000001,1351.3090661,16.0514535,32.6991401,303.89141109999997,584.6254072,206.8139774,347.68229379999997,55.5846041,111.7866483,599.8382582,1042.5120964,184.75392019999998,336.4785197,28.2354392,12.4478523,53.4076659,2.9755355,507.6737784,255.0303748,1282.6237785,68.6852876,9.0335958,7.0178577,30.0479326,2.6512075,194.179039,109.7123721,559.2544337,25.3709735,126.2611325,80.5528449,328.9239292,18.7583646,33.6427621,21.941842,106.9144814,4.8721669,405.1916018,194.6466564,982.1422588,60.3698376,112.5848194,72.1691008,319.0890538,17.3894659
